Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66156533e5f35737492766cf,5f18911227e6bc08a74928e6,RETURNED,Not Applicable,2024-04-09T16:06:35.575000Z,,,2024-04-10T12:33:40.291804Z,,,285,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66156579dcea932ce57cdf4d,5b1552789663ee0001463aff,RETURNED,Not Applicable,2024-04-09T16:07:45.044000Z,,,2024-04-10T12:33:40.296310Z,,,539,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661566558e83583c2b368556,5c7d7d9da7e5ae000165bd28,TIMED-OUT,Not Applicable,2024-04-09T16:01:30.021000Z,,,2024-04-10T12:33:40.312899Z,73931.0,,710,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66156667511cd84cbe3b16dc,5ed52e37266235094a3abcf4,RETURNED,Not Applicable,2024-04-09T16:12:00.077000Z,,,2024-04-10T12:33:40.298620Z,,,680,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6615672ce5f3573749276720,62b210116aa9499d1032a2d6,RETURNED,Not Applicable,2024-04-09T16:07:13.446000Z,,,2024-04-10T12:33:40.329424Z,,,1219,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66156748f853ae1d1f315d48,5bad47432b86390001ccda32,RETURNED,Not Applicable,2024-04-09T16:05:33.090000Z,,,2024-04-10T12:33:40.307856Z,,,343,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661567611800b150edd3a41f,6234b3adf19cbfea4a19769e,AWAITING REVIEW,Not Applicable,2024-04-09T16:05:57.488000Z,2024-04-09T16:20:43.402000Z,,2024-04-09T16:21:19.284774Z,886.0,C1AUX6QQ,485,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
661567a846d2d3a68fc2d5d2,596e6e5cd7919800014b49b8,RETURNED,Not Applicable,2024-04-09T16:10:40.721000Z,,,2024-04-10T12:33:40.316487Z,,,2244,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
661567c672b3690aba5927ba,5f13309e3f2f50018cbedccc,AWAITING REVIEW,Not Applicable,2024-04-09T16:07:41.488000Z,2024-04-09T16:16:05.546000Z,,2024-04-09T16:16:20.862913Z,505.0,C1AUX6QQ,756,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
661567d1e226f538b4b72005,65b53ba53e43807cbaef8597,RETURNED,Not Applicable,2024-04-09T16:08:29.593000Z,,,2024-04-10T12:33:40.317287Z,,,44,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
